1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 680000007E7FC641
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Thu Feb 20 13:16:01 EST 2025
Mission Sample Count:  565
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Feb 20 13:16:01 EST 2025
Total Mission Samples:  565
Total Device Samples:  66161
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
2/20/25 1:16:01 PM,C,19.828
2/20/25 1:26:01 PM,C,19.578
2/20/25 1:36:01 PM,C,20.078
2/20/25 1:46:01 PM,C,20.328
2/20/25 1:56:01 PM,C,20.453
2/20/25 2:06:01 PM,C,20.391
2/20/25 2:16:01 PM,C,20.328
2/20/25 2:26:01 PM,C,20.266
2/20/25 2:36:01 PM,C,20.203
2/20/25 2:46:01 PM,C,20.391
2/20/25 2:56:01 PM,C,20.328
2/20/25 3:06:01 PM,C,20.328
2/20/25 3:16:01 PM,C,20.266
2/20/25 3:26:01 PM,C,20.203
2/20/25 3:36:01 PM,C,20.141
2/20/25 3:46:01 PM,C,20.141
2/20/25 3:56:01 PM,C,20.078
2/20/25 4:06:01 PM,C,20.078
2/20/25 4:16:01 PM,C,20.016
2/20/25 4:26:01 PM,C,20.016
2/20/25 4:36:01 PM,C,19.953
2/20/25 4:46:01 PM,C,19.953
2/20/25 4:56:01 PM,C,19.891
2/20/25 5:06:01 PM,C,19.891
2/20/25 5:16:01 PM,C,19.891
2/20/25 5:26:01 PM,C,19.891
2/20/25 5:36:01 PM,C,19.828
2/20/25 5:46:01 PM,C,19.828
2/20/25 5:56:01 PM,C,19.828
2/20/25 6:06:01 PM,C,19.828
2/20/25 6:16:01 PM,C,19.828
2/20/25 6:26:01 PM,C,19.828
2/20/25 6:36:01 PM,C,19.828
2/20/25 6:46:01 PM,C,19.828
2/20/25 6:56:01 PM,C,19.828
2/20/25 7:06:01 PM,C,19.828
2/20/25 7:16:01 PM,C,19.828
2/20/25 7:26:01 PM,C,19.828
2/20/25 7:36:01 PM,C,19.766
2/20/25 7:46:01 PM,C,19.828
