1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 680000007E7FC641
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Mon Feb 24 11:28:01 EST 2025
Mission Sample Count:  1006
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Mon Feb 24 11:28:01 EST 2025
Total Mission Samples:  1006
Total Device Samples:  67168
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
2/24/25 11:28:01 AM,C,25.08
2/24/25 11:38:01 AM,C,23.08
2/24/25 11:48:01 AM,C,22.079
2/24/25 11:58:01 AM,C,21.579
2/24/25 12:08:01 PM,C,21.079
2/24/25 12:18:01 PM,C,21.079
2/24/25 12:28:01 PM,C,21.079
2/24/25 12:38:01 PM,C,21.079
2/24/25 12:48:01 PM,C,21.079
2/24/25 12:58:01 PM,C,21.079
2/24/25 1:08:01 PM,C,21.579
2/24/25 1:18:01 PM,C,21.579
2/24/25 1:28:01 PM,C,21.579
2/24/25 1:38:01 PM,C,21.579
2/24/25 1:48:01 PM,C,21.579
2/24/25 1:58:01 PM,C,21.579
2/24/25 2:08:01 PM,C,21.579
2/24/25 2:18:01 PM,C,21.579
2/24/25 2:28:01 PM,C,21.579
2/24/25 2:38:01 PM,C,21.579
2/24/25 2:48:01 PM,C,21.579
2/24/25 2:58:01 PM,C,21.579
2/24/25 3:08:01 PM,C,21.579
2/24/25 3:18:01 PM,C,21.579
2/24/25 3:28:01 PM,C,22.079
2/24/25 3:38:01 PM,C,22.079
2/24/25 3:48:01 PM,C,22.079
2/24/25 3:58:01 PM,C,22.079
2/24/25 4:08:01 PM,C,22.079
2/24/25 4:18:01 PM,C,22.079
2/24/25 4:28:01 PM,C,22.079
2/24/25 4:38:01 PM,C,22.58
2/24/25 4:48:01 PM,C,23.58
2/24/25 4:58:01 PM,C,24.58
2/24/25 5:08:01 PM,C,25.58
2/24/25 5:18:01 PM,C,26.08
2/24/25 5:28:01 PM,C,26.58
2/24/25 5:38:01 PM,C,27.08
2/24/25 5:48:01 PM,C,27.08
2/24/25 5:58:01 PM,C,27.08
2/24/25 6:08:01 PM,C,27.08
2/24/25 6:18:01 PM,C,27.08
2/24/25 6:28:01 PM,C,27.58
2/24/25 6:38:01 PM,C,27.58
2/24/25 6:48:01 PM,C,27.58
2/24/25 6:58:01 PM,C,27.58
2/24/25 7:08:01 PM,C,27.58
2/24/25 7:18:01 PM,C,27.58
2/24/25 7:28:01 PM,C,27.58
2/24/25 7:38:01 PM,C,27.58
2/24/25 7:48:01 PM,C,27.58
2/24/25 7:58:01 PM,C,27.58
2/24/25 8:08:01 PM,C,27.58
2/24/25 8:18:01 PM,C,27.58
2/24/25 8:28:01 PM,C,27.58
2/24/25 8:38:01 PM,C,27.58
2/24/25 8:48:01 PM,C,27.58
2/24/25 8:58:01 PM,C,27.58
2/24/25 9:08:01 PM,C,27.58
2/24/25 9:18:01 PM,C,27.58
2/24/25 9:28:01 PM,C,27.58
2/24/25 9:38:01 PM,C,27.58
2/24/25 9:48:01 PM,C,27.58
2/24/25 9:58:01 PM,C,27.58
2/24/25 10:08:01 PM,C,27.58
2/24/25 10:18:01 PM,C,27.58
2/24/25 10:28:01 PM,C,27.58
2/24/25 10:38:01 PM,C,27.58
2/24/25 10:48:01 PM,C,27.58
2/24/25 10:58:01 PM,C,27.58
2/24/25 11:08:01 PM,C,27.58
2/24/25 11:18:01 PM,C,27.58
2/24/25 11:28:01 PM,C,27.58
2/24/25 11:38:01 PM,C,27.58
2/24/25 11:48:01 PM,C,27.58
2/24/25 11:58:01 PM,C,27.58
2/25/25 12:08:01 AM,C,27.58
2/25/25 12:18:01 AM,C,27.58
2/25/25 12:28:01 AM,C,27.58
2/25/25 12:38:01 AM,C,27.58
2/25/25 12:48:01 AM,C,27.58
2/25/25 12:58:01 AM,C,27.58
2/25/25 1:08:01 AM,C,27.58
2/25/25 1:18:01 AM,C,27.58
2/25/25 1:28:01 AM,C,27.58
2/25/25 1:38:01 AM,C,27.58
2/25/25 1:48:01 AM,C,27.58
2/25/25 1:58:01 AM,C,27.58
2/25/25 2:08:01 AM,C,27.58
2/25/25 2:18:01 AM,C,27.58
