Time Stamp,Inlet Number,P (mbars),T0 (degC),T1 (degC),T2 (degC),T5 (degC),Tgas(degC),Laser PID Readout,Det PID Readout,win0Fit0,win0Fit1,win0Fit2,win0Fit3,win0Fit4,win0Fit5,win0Fit6,win0Fit7,win0Fit8,win0Fit9,win1Fit0,win1Fit1,win1Fit2,win1Fit3,win1Fit4,win1Fit5,win1Fit6,win1Fit7,win1Fit8,win1Fit9,Det Bkgd,Ramp Ampl,COS (ppb),H2O (ppm),CO2 (ppm),Diff. COS (ppb),Mean H2O (ppm),Mean CO2 (ppm),DiffSpec Species0,DiffSpec Species2,DiffSpec Chi2,Power Input (mV),FET T (degC),TEC Temp (degC),TEC Sink Temp (degC),TEC Power (W),Wall Code
09/10/2022 12:55:21.188,0,139.987,29.7174,31.3364,20.9506,26.4143,29.7174,131129,71050,-6.34799,0.0778882,-0.000107009,9.58319e-08,0.638144,7.08897,1,0.00257551,23.34,1,-6.47439,0.069198,-5.58551e-05,2.29161e-08,0.0040352,7.08897,1,0.00122204,7.08897,1,2.92286,15.5733,9.54578,17417.2,120.615,0,0,0,3.2265e-307,1.39077e-308,4.89549e-307,14872,32.65,31.287,20.245,10.611,1011
09/10/2022 12:55:22.212,0,139.968,29.7663,31.3825,20.9455,26.5022,29.7663,131259,71314,-5.40099,0.0657219,-5.60922e-05,2.58188e-08,0.6218,7.20275,1,0.0266822,7.03275,1,-6.20374,0.0670049,-5.02378e-05,1.80002e-08,0.000941689,7.20275,1,0.00131211,7.20275,1,2.92301,15.5461,10.247,16970.8,1249.28,0,0,0,3.2265e-307,1.39077e-308,4.89549e-307,14872,32.65,31.331,20.234,10.617,1011
09/10/2022 12:55:23.236,0,139.989,29.8123,31.4262,20.9482,26.5510,29.8123,131488,71563,-5.37715,0.0653674,-5.47541e-05,2.37446e-08,0.620754,7.41462,1,0.0276627,7.16637,1,-5.96348,0.0651257,-4.56912e-05,1.41926e-08,-0.00212731,7.41462,1,0.00134458,7.41462,1,2.92351,15.514,10.5025,16941.9,1295.43,0,0,0,3.2265e-307,1.39077e-308,4.89549e-307,14872,32.65,31.378,20.227,10.622,1015
09/10/2022 12:55:24.260,0,140.016,29.8579,31.4699,20.9478,26.6097,29.8579,131397,71816,-5.3844,0.065428,-5.50267e-05,2.36548e-08,0.62056,7.20395,1,0.0280687,6.93711,1,-5.30027,0.0599599,-3.26348e-05,3.06165e-09,-0.00323891,7.20395,1,0.00136521,7.20395,1,2.92371,15.4815,10.6659,16936.3,1314.71,0,0,0,3.2265e-307,1.39077e-308,4.89549e-307,14843,32.65,31.422,20.222,10.628,1023
09/10/2022 12:55:25.284,0,139.984,29.9044,31.5116,20.9462,26.6878,29.9044,131106,72073,-5.41788,0.0658568,-5.67323e-05,2.54851e-08,0.617794,6.77718,1,0.0285853,6.47792,1,-3.97906,0.0499368,-7.54909e-06,-1.79501e-08,-0.00431845,6.77718,1,0.00138631,6.77718,1,2.92446,15.4565,10.8322,16860.5,1339.09,0,0,0,3.2265e-307,1.39077e-308,4.89549e-307,14865,32.65,31.469,20.215,10.635,1007
09/10/2022 12:55:26.308,0,139.993,29.9444,31.5483,20.9469,26.7367,29.9444,131085,72331,-5.40927,0.0657359,-5.63614e-05,2.47769e-08,0.614668,6.70585,1,0.0292854,6.35281,1,-3.47257,0.0460889,1.91507e-06,-2.58391e-08,-0.00476228,6.70585,1,0.0014361,6.70585,1,2.92444,15.4286,11.2223,16774.9,1372.03,0,0,0,3.2265e-307,1.39077e-308,4.89549e-307,14877,32.65,31.513,20.210,10.642,1007
09/10/2022 12:55:27.332,0,139.991,29.9869,31.5917,20.9442,26.7953,29.9869,131203,72592,-5.41885,0.0658224,-5.6813e-05,2.51069e-08,0.610549,6.75879,1,0.0297119,6.28823,1,-2.81063,0.0411069,1.40982e-05,-3.59e-08,-0.005534,6.75879,1,0.00141225,6.75879,1,2.92492,15.3984,11.0369,16662.2,1392.12,0,0,0,3.2265e-307,1.39077e-308,4.89549e-307,14834,32.65,31.513,20.210,10.642,1007
09/10/2022 12:55:28.356,0,139.965,30.0326,31.6340,20.9460,26.8442,30.0326,130990,72842,-5.42331,0.065906,-5.72729e-05,2.55609e-08,0.603738,6.44939,1,0.0299757,5.9,1,-1.92855,0.0345575,3.00902e-05,-4.90228e-08,-0.00456656,6.44939,1,0.00143456,6.44939,1,2.92512,15.3752,11.2115,16476.1,1404.51,0,0,0,3.2265e-307,1.39077e-308,4.89549e-307,14865,32.75,31.603,20.191,10.654,1006
09/10/2022 12:55:29.380,0,140.034,30.0800,31.6773,20.9436,26.9321,30.0800,130960,73103,-5.38808,0.0654811,-5.57559e-05,2.33685e-08,0.597229,6.34045,1,0.0303934,5.71228,1,-1.11057,0.0284913,4.47563e-05,-6.096e-08,-0.00471921,6.34045,1,0.00138328,6.34045,1,2.92566,15.345,10.8112,16298.1,1424.14,0,0,0,3.2265e-307,1.39077e-308,4.89549e-307,14866,32.75,31.603,20.191,10.654,1006
09/10/2022 12:55:30.404,0,139.959,30.1293,31.7197,20.9448,26.9907,30.1293,130996,73353,-5.35069,0.0650293,-5.4092e-05,2.1061e-08,0.591033,6.37061,1,0.0304548,5.572,1,-0.465984,0.0237868,5.5974e-05,-6.99907e-08,-0.00325248,6.37061,1,0.00134987,6.37061,1,2.926,15.3209,10.5506,16128.7,1427.09,0,0,0,3.2265e-307,1.39077e-308,4.89549e-307,14850,32.75,31.651,20.185,10.660,990
09/10/2022 12:55:31.633,0,139.965,30.1823,31.7701,20.9439,27.0200,30.1823,130816,73655,-5.35196,0.0651344,-5.49436e-05,2.23373e-08,0.581777,6.08354,1,0.0301949,5.10257,1,0.518978,0.0166714,7.27993e-05,-8.33721e-08,-0.00107943,6.08354,1,0.0012812,6.08354,1,2.92644,15.2912,10.0139,15875.8,1414.9,0,0,0,3.2265e-307,1.39077e-308,4.89549e-307,14877,32.75,31.741,20.171,10.672,924
09/10/2022 12:55:32.657,0,139.989,30.2287,31.8110,20.9431,27.0982,30.2287,130895,73912,-5.32931,0.0648754,-5.42091e-05,2.13885e-08,0.573046,6.17372,1,0.0297599,5.00709,1,0.953623,0.0135605,7.99369e-05,-8.89582e-08,0.0019567,6.17372,1,0.00116678,6.17372,1,2.92693,15.262,9.11926,15637.3,1394.48,0,0,0,3.2265e-307,1.39077e-308,4.89549e-307,14820,32.75,31.784,20.169,10.679,925
09/10/2022 12:55:33.681,0,139.996,30.2738,31.8496,20.9427,27.1764,30.2738,130757,74160,-5.33518,0.0650413,-5.53704e-05,2.31826e-08,0.565474,6.04593,1,0.0295958,4.6955,1,1.59199,0.00899655,9.05268e-05,-9.7262e-08,0.00473077,6.04593,1,0.00105334,6.04593,1,2.92733,15.234,8.23263,15430.4,1386.78,0,0,0,3.2265e-307,1.39077e-308,4.89549e-307,14878,32.85,31.831,20.161,10.686,957
09/10/2022 12:55:34.705,0,140.018,30.3195,31.8919,20.9432,27.2447,30.3195,130682,74409,-5.34948,0.065309,-5.6973e-05,2.55447e-08,0.559033,5.96864,1,0.0287422,4.4,1,2.11842,0.00526247,9.9039e-05,-1.03846e-07,0.00827986,5.96864,1,0.00091688,5.96864,1,2.92801,15.2036,7.16637,15254.4,1346.83,0,0,0,3.2265e-307,1.39077e-308,4.89549e-307,14863,32.85,31.874,20.153,10.690,957
09/10/2022 12:55:35.729,0,139.986,30.3632,31.9354,20.9414,27.2838,30.3632,130735,74659,-5.36455,0.0655279,-5.82114e-05,2.73053e-08,0.554584,6.07388,1,0.0280814,4.22232,1,2.46385,0.0028737,0.000104257,-1.07741e-07,0.0116643,6.07388,1,0.000698579,6.07388,1,2.92783,15.1755,5.46056,15132.7,1315.97,0,0,0,3.2265e-307,1.39077e-308,4.89549e-307,14827,32.85,31.920,20.144,10.697,1023
09/10/2022 12:55:36.753,0,139.964,30.4013,31.9704,20.9393,27.3327,30.4013,130575,74907,-5.40301,0.0661272,-6.11023e-05,3.14199e-08,0.549807,5.94391,1,0.0267272,3.83284,1,2.87625,0.000109296,0.000110205,-1.12068e-07,0.0169347,5.94391,1,0.000515417,5.94391,1,2.92847,15.154,4.02902,15002.1,1252.56,0,0,0,3.2265e-307,1.39077e-308,4.89549e-307,14886,32.85,31.963,20.133,10.702,1023
09/10/2022 12:55:37.777,0,140.001,30.4466,32.0114,20.9403,27.4011,30.4466,130631,75153,-5.48365,0.0671616,-6.56628e-05,3.75412e-08,0.548506,6.09566,1,0.0256165,3.69678,1,2.97401,-0.000402031,0.000110674,-1.1199e-07,0.0214953,6.09566,1,0.000267951,6.09566,1,2.92864,15.1235,2.09494,14966.4,1200.72,0,0,0,3.2265e-307,1.39077e-308,4.89549e-307,14866,32.85,31.963,20.133,10.702,1023
09/10/2022 12:55:38.801,0,139.969,30.4914,32.0542,20.9349,27.4792,30.4914,130558,75401,-5.57253,0.0683506,-7.08496e-05,4.46493e-08,0.551447,6.04204,1,0.0241296,3.346,1,2.94303,0.000100505,0.000108642,-1.09833e-07,0.0254162,6.04204,1,0.000107053,6.04204,1,2.92927,15.1038,0.837221,15046.4,1131.35,0,0,0,3.2265e-307,1.39077e-308,4.89549e-307,14870,32.95,32.010,20.129,10.709,895
09/10/2022 12:55:39.825,0,139.988,30.5362,32.0968,20.9365,27.5183,30.5362,130467,75647,-5.72541,0.0703076,-7.91054e-05,5.57588e-08,0.553598,6.02955,1,0.0220857,3.03773,1,3.00007,-7.4148e-05,0.000108306,-1.09085e-07,0.0285865,6.02955,1,-0.000124731,6.02955,1,2.92931,15.0822,-0.97574,15104.8,1035.8,0,0,0,3.2265e-307,1.39077e-308,4.89549e-307,14889,32.95,32.052,20.119,10.715,895
09/10/2022 12:55:40.849,0,139.995,30.5811,32.1386,20.9347,27.5769,30.5811,130513,75897,-5.8118,0.0714062,-8.38627e-05,6.20526e-08,0.563299,6.12138,1,0.0201327,2.73943,1,3.04077,-0.000184309,0.000107843,-1.08284e-07,0.0311114,6.12138,1,-0.000300056,6.12138,1,2.92962,15.0524,-2.34838,15369.2,944.651,0,0,0,3.2265e-307,1.39077e-308,4.89549e-307,14838,33.05,32.099,20.107,10.719,895
09/10/2022 12:55:41.976,1,139.982,30.6281,32.1844,20.9346,27.6453,30.6281,130362,76169,-5.85383,0.0719486,-8.61843e-05,6.48336e-08,0.587106,5.95942,1,0.0171476,2.00755,1,3.28566,-0.00174347,0.000110828,-1.10223e-07,0.0322596,5.95942,1,-0.000383675,5.95942,1,2.9302,15.0231,-3.00547,16018.5,805.293,0,0,0,3.2265e-307,1.39077e-308,4.89549e-307,14869,32.95,32.188,20.095,10.730,1023
09/10/2022 12:55:43.000,1,139.972,30.6694,32.2275,20.9322,27.7333,30.6694,130428,76413,-5.96106,0.0732951,-9.1909e-05,7.23432e-08,0.601627,6.07007,1,0.0154243,1.21457,1,3.22967,-0.00116843,0.000108749,-1.08161e-07,0.0330406,6.07007,1,-0.000483985,6.07007,1,2.93039,14.9928,-3.79348,16414.4,724.792,0,0,0,3.2265e-307,1.39077e-308,4.89549e-307,14858,33.05,32.231,20.090,10.737,1023
09/10/2022 12:55:44.024,1,140.012,30.7118,32.2758,20.9314,27.7723,30.7118,130247,76656,-6.04024,0.0742373,-9.55606e-05,7.64586e-08,0.614224,5.86594,1,0.0128079,5.20869,1,3.30749,-0.00148307,0.000108651,-1.07547e-07,0.0334073,5.86594,1,-0.00054904,5.86594,1,2.93081,14.965,-4.30574,16757.9,602.175,0,0,0,3.2265e-307,1.39077e-308,4.89549e-307,14826,33.05,32.231,20.090,10.737,1023
09/10/2022 12:55:45.048,1,139.962,30.7563,32.3183,20.9317,27.8407,30.7563,130301,76848,-5.99402,0.0735709,-9.26295e-05,7.19762e-08,0.623825,5.91087,1,0.0136226,5.97771,1,3.32373,-0.00151829,0.000108341,-1.07099e-07,0.0325622,5.91087,1,-0.000580017,5.91087,1,2.93161,14.9433,-4.55083,17019.5,640.782,0,0,0,3.2265e-307,1.39077e-308,4.89549e-307,14861,33.05,32.277,20.082,10.741,1023
09/10/2022 12:55:46.072,1,139.977,30.8011,32.3599,20.9301,27.8701,30.8011,130229,76950,-5.95808,0.0731054,-9.05509e-05,6.87139e-08,0.632456,5.81934,1,0.0141657,6.18789,1,3.48909,-0.00269174,0.000111014,-1.09182e-07,0.0319023,5.81934,1,-0.000563002,5.81934,1,2.93181,14.9319,-4.41931,17254.7,666.626,0,0,0,3.2265e-307,1.39077e-308,4.89549e-307,14848,33.05,32.319,20.077,10.748,1023
09/10/2022 12:55:47.096,1,140.022,30.8453,32.4019,20.9305,27.9580,30.8453,130143,76953,-5.91366,0.0725109,-8.78337e-05,6.46139e-08,0.641313,5.66505,1,0.0152859,6.19134,1,3.13246,5.60546e-05,0.000103956,-1.03174e-07,0.0304012,5.66505,1,-0.000527323,5.66505,1,2.93242,14.9302,-4.14111,17496.1,719.663,0,0,0,3.2265e-307,1.39077e-308,4.89549e-307,14830,33.05,32.365,20.070,10.754,1023
