Time Stamp,Inlet Number,P (mbars),T (degC),COS (ppb),H2O (ppm),CO2 (ppm),Diff. COS (ppb),Mean H2O (ppm),Mean CO2 (ppm),DiffSpec Species0,DiffSpec Species2,DiffSpec Chi2,TEC Sink Temp (degC),Wall Code,Latitude,Longitude
02/10/2025 12:50:48.304,1,140.018,41.4203,-1.17547,7571.13,432.479,0.351318,8772.82,440.883,0.654546,3.60006,3.33573e-09,31.587,0,No Data,No Data
02/10/2025 13:10:47.715,1,140.009,41.4197,-1.36218,7442.2,428.135,0.345165,9075.59,436.652,0.638573,3.44508,6.31364e-09,31.626,0,No Data,No Data
02/10/2025 13:30:47.843,0,140.01,41.4188,-1.38438,7459.6,426.885,0.356291,9641.12,453.723,0.655023,6.34667,5.58984e-09,31.673,0,No Data,No Data
02/10/2025 13:50:48.790,1,139.999,41.4173,-1.1463,8438.96,423.469,0.367971,11204.5,443.503,0.666208,5.61729,1.59859e-08,31.722,0,No Data,No Data
02/10/2025 14:10:48.918,1,140.03,41.4173,-1.12254,8686.29,426.998,0.38401,11906.2,445.33,0.67361,5.44586,1.65262e-08,31.746,0,No Data,No Data
02/10/2025 14:30:48.124,1,140.038,41.4175,-1.18748,7775.45,420.961,0.422889,13226.6,454.031,0.712405,7.4093,1.94047e-08,31.802,0,No Data,No Data
02/10/2025 14:50:49.072,1,140.024,41.4170,-1.1403,9533.81,435.31,0.432289,14311.3,428.61,0.749225,2.63399,3.31786e-08,31.826,0,No Data,No Data
02/10/2025 15:10:48.073,1,140.018,41.4183,-1.01506,7582.1,425.672,0.373721,9486.51,413.145,0.68616,-2.03141,1.39678e-08,31.830,0,No Data,No Data
02/10/2025 15:30:49.328,1,140.012,41.4185,-1.13473,7971.95,421.556,0.346405,7975.19,402.018,0.658655,-4.76061,8.3824e-09,31.860,0,No Data,No Data
02/10/2025 15:50:47.920,1,139.995,41.4193,-1.35279,7602.94,432.796,0.355196,7593.06,405.334,0.651351,-4.38715,4.69156e-09,31.879,0,No Data,No Data
02/10/2025 16:10:49.481,1,140.023,41.4193,-1.12622,7637.41,431.099,0.338762,7279.12,414.535,0.617172,-3.47366,3.7298e-09,31.906,0,No Data,No Data
02/10/2025 16:30:48.892,1,140.025,41.4205,-1.11266,7516.76,434.644,0.322947,6792.14,423.16,0.620303,-1.46038,4.11347e-08,31.941,0,No Data,No Data
02/10/2025 16:50:48.304,1,140.038,41.4180,-1.31824,7614.78,445.285,0.334342,6148.31,414.533,0.596068,-4.17349,1.50375e-08,31.965,0,No Data,No Data
02/10/2025 17:10:49.251,1,140.03,41.4177,-1.31065,7095.21,434.395,0.336947,5304.68,421.986,0.61907,-3.95779,1.43322e-08,31.997,0,No Data,No Data
02/10/2025 17:30:49.481,1,140.016,41.4207,-1.15354,6780.71,466.283,0.315102,4686.46,457.796,0.556267,1.99674,1.42024e-08,32.022,0,No Data,No Data
02/10/2025 17:50:49.097,1,140.015,41.4204,-1.10674,7181.25,445.86,0.305306,4704.46,435.752,0.589445,-4.40322,9.36441e-08,32.016,0,No Data,No Data
02/10/2025 18:10:49.328,1,140.031,41.4179,-1.22101,6884.14,417.435,0.304545,4640.38,406.28,0.629061,-8.43078,2.23212e-08,31.971,0,No Data,No Data
02/10/2025 18:30:48.636,1,140.022,41.4201,-1.58328,7550.48,439.955,0.305522,4366.32,397.888,0.617171,-8.7453,2.58795e-08,31.939,0,No Data,No Data
02/10/2025 18:50:48.252,1,140.01,41.4203,-1.5455,7732.95,448.687,0.293341,4344.06,395.421,0.595372,-8.96064,2.66242e-08,31.915,0,No Data,No Data
02/10/2025 19:10:48.892,0,140.016,41.4205,-1.4003,7325.75,431.246,0.310018,4284.98,396.302,0.64321,-9.06601,3.28335e-08,31.882,0,No Data,No Data
02/10/2025 19:30:49.737,1,140.016,41.4203,-1.56673,6485.82,433.335,0.308504,4224.22,406.68,0.620148,-6.93545,4.48004e-08,31.868,0,No Data,No Data
02/10/2025 19:50:48.841,1,140.038,41.4206,-1.62921,7493.56,446.731,0.286278,4177.08,408.884,0.585646,-6.51798,6.40296e-08,31.837,0,No Data,No Data
02/10/2025 20:10:49.072,1,140.018,41.4210,-1.60239,7164.15,439.944,0.290453,4006.89,400.43,0.60625,-8.0274,6.86148e-08,31.826,0,No Data,No Data
02/10/2025 20:30:50.121,1,140.019,41.4214,-1.72233,6090.09,426.072,0.291031,4088.91,403.569,0.61475,-9.12549,5.76252e-08,31.791,0,No Data,No Data
02/10/2025 20:50:49.020,1,140.024,41.4205,-1.8087,7311.37,438.766,0.29088,3830.92,398.652,0.619358,-8.99727,6.89889e-08,31.768,0,No Data,No Data
02/10/2025 21:10:49.251,0,140.021,41.4212,-1.82947,6980.44,439.817,0.31849,3657.51,394.961,0.663824,-10.1898,8.45562e-08,31.753,0,No Data,No Data
02/10/2025 21:30:49.584,1,140.028,41.4210,-2.11894,6558.33,421.271,0.311668,3587.57,392.503,0.634321,-9.78772,1.0051e-07,31.741,0,No Data,No Data
02/10/2025 21:50:49.405,1,140.019,41.4209,-2.40002,6862.9,422.995,0.29557,3550.4,386.895,0.606043,-9.81162,9.43587e-08,31.685,0,No Data,No Data
02/10/2025 22:10:49.737,1,140.024,41.4196,-2.15762,6499.72,411.105,0.287622,3580.98,385.955,0.567508,-8.88427,1.12523e-07,31.666,0,No Data,No Data
02/10/2025 22:30:49.456,1,140.023,41.4189,-2.41271,6843.27,414.915,0.270554,3503,388.825,0.566978,-8.06065,1.16529e-07,31.635,0,No Data,No Data
02/10/2025 22:50:49.277,1,140.022,41.4175,-2.61298,7081.8,404.65,0.337732,3489.26,385.843,0.638073,-9.57904,1.19108e-07,31.607,0,No Data,No Data
02/10/2025 23:10:49.712,1,140.002,41.4186,-2.50806,6583.2,403.806,0.360661,3503.21,377.339,0.647593,-10.796,1.30544e-07,31.590,0,No Data,No Data
02/10/2025 23:30:49.840,1,140.032,41.4182,-2.63378,6453.38,407.819,0.334001,3494.42,379.806,0.602434,-9.65321,1.42465e-07,31.560,0,No Data,No Data
02/10/2025 23:50:50.275,1,140.02,41.4191,-2.55984,6048.25,398.842,0.312563,3513.5,389.141,0.565221,-7.64302,1.46342e-07,31.539,0,No Data,No Data
02/11/2025 00:10:49.891,1,140.011,41.4200,-2.58698,6494.78,403.519,0.337193,3498.47,395.061,0.600717,-5.7466,1.31114e-07,31.520,0,No Data,No Data
02/11/2025 00:30:48.893,1,140.002,41.4195,-2.76353,7519,414.384,0.326384,3499.32,397.787,0.571278,-3.44901,1.40239e-07,31.481,0,No Data,No Data
02/11/2025 00:50:50.147,1,140.021,41.4202,-2.52743,6184.69,403.983,0.344187,3546.17,398.483,0.598866,-4.94557,1.44931e-07,31.455,0,No Data,No Data
02/11/2025 01:10:49.558,1,140.004,41.4206,-2.46534,6992.42,412.752,0.317518,3599.58,400.488,0.53196,-4.60768,1.26611e-07,31.416,0,No Data,No Data
02/11/2025 01:30:49.993,1,140.018,41.4216,-2.46288,6567.43,404.481,0.300348,3676.12,405.437,0.497299,-1.93255,1.35604e-07,31.414,0,No Data,No Data
02/11/2025 01:50:50.224,1,140.029,41.4204,-2.44922,6241.38,397.12,0.324647,3628.4,401.489,0.588818,-1.73127,1.16546e-07,31.365,0,No Data,No Data
02/11/2025 02:10:49.737,1,140,41.4210,-2.58289,6907.07,393.117,0.322882,3651.69,396.815,0.609098,-2.01077,1.27445e-07,31.340,0,No Data,No Data
02/11/2025 02:30:49.353,1,140.01,41.4214,-2.65164,7335.87,382.034,0.354817,3509.86,380.191,0.648654,-3.84332,1.38091e-07,31.283,0,No Data,No Data
02/11/2025 02:50:49.686,1,140.029,41.4205,-2.64451,7094.22,392.533,0.367368,3455.11,371.981,0.628631,-5.37481,1.41187e-07,31.239,0,No Data,No Data
02/11/2025 03:10:50.429,1,140.02,41.4209,-2.82898,6073.92,372.495,0.366636,3457.35,372.19,0.595488,-5.72772,1.54961e-07,31.208,0,No Data,No Data
02/11/2025 03:30:50.249,1,140.036,41.4193,-2.74537,6346.69,388.861,0.35263,3493.11,371.37,0.567671,-4.13424,1.38419e-07,31.176,0,No Data,No Data
02/11/2025 03:50:49.763,1,140.118,41.4175,-2.7705,7007.06,374.838,0.371661,3555.77,386.351,0.59947,0.596685,1.32995e-07,31.152,0,No Data,No Data
02/11/2025 04:10:50.403,1,140.042,41.4175,-2.93799,6274.75,385.544,0.380581,3559.62,399.605,0.598254,2.99319,1.38189e-07,31.100,0,No Data,No Data
02/11/2025 04:30:49.917,1,140.017,41.4197,-2.88862,6903.27,361.416,0.36797,3662.86,413.078,0.576635,4.63058,1.22679e-07,31.068,0,No Data,No Data
02/11/2025 04:50:50.454,1,140.029,41.4206,-2.59713,6196.14,390.787,0.357036,3640.46,405.883,0.592871,2.95067,1.24502e-07,31.047,0,No Data,No Data
02/11/2025 05:10:50.173,1,140.02,41.4177,-2.63974,6666.41,370.788,0.367721,3706.36,412.428,0.579221,3.7996,1.39263e-07,31.010,0,No Data,No Data
02/11/2025 05:30:49.891,1,140.028,41.4191,-2.92388,6981.99,362.123,0.363731,3640.31,403.02,0.60415,4.06905,1.04969e-07,30.985,0,No Data,No Data
02/11/2025 05:50:50.122,1,140.009,41.4214,-2.92529,6806.05,357.401,0.349841,3661.53,396.833,0.6008,4.76147,1.30925e-07,30.937,0,No Data,No Data
02/11/2025 06:10:50.352,1,140.029,41.4176,-2.66573,6488.82,365.926,0.356536,3714.19,401.983,0.584342,4.66495,1.34149e-07,30.914,0,No Data,No Data
02/11/2025 06:30:49.763,1,139.982,41.4208,-3.00224,7058.59,351.435,0.35615,3718.77,402.531,0.595263,5.91767,1.10843e-07,30.881,0,No Data,No Data
02/11/2025 06:50:50.710,1,140.039,41.4186,-2.65569,6227.25,363.782,0.371431,3728.75,408.537,0.602249,6.99543,1.27467e-07,30.853,0,No Data,No Data
02/11/2025 07:10:49.712,0,139.994,41.4201,-2.71208,7050.38,351.3,0.343589,3780.99,403.891,0.555947,5.8421,1.07833e-07,30.826,0,No Data,No Data
02/11/2025 07:30:50.762,1,140.022,41.4186,-2.64371,6196.23,377.829,0.319108,3825.13,405.724,0.513361,6.5777,1.02148e-07,30.796,0,No Data,No Data
02/11/2025 07:50:50.378,1,140.029,41.4199,-2.48335,6682.86,354.636,0.320167,3952.86,427.199,0.482594,9.28218,1.08278e-07,30.779,0,No Data,No Data
02/11/2025 08:10:50.198,0,140.003,41.4173,-2.35644,6889.51,348.342,0.333876,4054.81,443.593,0.514126,13.1113,1.13347e-07,30.745,0,No Data,No Data
02/11/2025 08:30:51.248,1,140.017,41.4212,-2.46128,5859.74,375.098,0.338145,3820.84,411.826,0.642074,7.96587,1.24412e-07,30.745,0,No Data,No Data
02/11/2025 08:50:50.864,1,140.035,41.4177,-2.49911,6200.5,358.957,0.304789,3907.99,413.498,0.563011,8.82716,1.28318e-07,30.714,0,No Data,No Data
02/11/2025 09:10:50.992,1,140.026,41.4193,-2.61792,6121.4,363.277,0.328184,4002.8,417.05,0.562229,9.5593,1.07555e-07,30.709,0,No Data,No Data
02/11/2025 09:30:50.813,1,140.031,41.4217,-2.53736,6339.19,360.28,0.351637,3910.15,416.112,0.622489,9.66016,1.07128e-07,30.719,0,No Data,No Data
02/11/2025 09:50:50.736,1,140.006,41.4183,-2.76125,6501.12,345.504,0.322426,4070.94,424.204,0.605901,11.1343,1.07998e-07,30.709,0,No Data,No Data
02/11/2025 10:10:51.376,1,140.01,41.4196,-2.29336,5949.61,382.137,0.323212,4022.29,434.226,0.539806,12.1706,9.49745e-08,30.710,0,No Data,No Data
02/11/2025 10:30:51.094,1,140.031,41.4215,-2.24406,6178.69,373.736,0.333306,4095.08,435.869,0.538877,13.0109,9.37136e-08,30.745,0,No Data,No Data
02/11/2025 10:50:50.301,1,140.019,41.4174,-2.72473,6964.2,331.786,0.344546,3919.13,408.629,0.624331,9.31405,1.1027e-07,30.796,0,No Data,No Data
02/11/2025 11:10:51.248,1,140.014,41.4207,-2.37336,6124.88,371.211,0.325267,3983.73,436.279,0.548955,12.4243,1.1762e-07,30.822,0,No Data,No Data
02/11/2025 11:30:50.864,1,140.03,41.4175,-2.46137,6559.47,348.907,0.352795,3935.34,410.355,0.588517,8.92061,1.13201e-07,30.882,0,No Data,No Data
02/11/2025 11:50:50.890,1,140.001,41.4211,-2.50629,6570.43,338.784,0.32867,3922.94,410.211,0.578936,8.71909,1.06476e-07,30.936,0,No Data,No Data
02/11/2025 12:10:51.120,1,140.018,41.4175,-2.4669,6420.56,359.901,0.357553,3851.15,395.371,0.637243,6.02643,1.11998e-07,31.043,0,No Data,No Data
