Time Stamp,Inlet Number,P (mbars),T0 (degC),T1 (degC),T2 (degC),T5 (degC),Tgas(degC),Laser PID Readout,Det PID Readout,win0Fit0,win0Fit1,win0Fit2,win0Fit3,win0Fit4,win0Fit5,win0Fit6,win0Fit7,win0Fit8,win0Fit9,win1Fit0,win1Fit1,win1Fit2,win1Fit3,win1Fit4,win1Fit5,win1Fit6,win1Fit7,win1Fit8,win1Fit9,Det Bkgd,Ramp Ampl,COS (ppb),H2O (ppm),CO2 (ppm),Diff. COS (ppb),Mean H2O (ppm),Mean CO2 (ppm),DiffSpec Species0,DiffSpec Species2,DiffSpec Chi2,Power Input (mV),FET T (degC),TEC Temp (degC),TEC Sink Temp (degC),TEC Power (W),Wall Code,GPS Time,Latitude,Longitude,Alt. (m)
02/21/2025 13:29:45.453,1,139.988,41.4150,40.7791,21.8286,48.7787,41.4150,131658,60002,-5.02884,0.0596937,-1.31832e-05,-3.38319e-08,0.605788,0.996127,1,0.00812977,1.11708,1,-0.303519,0.0236359,7.55823e-05,-1.02914e-07,0.0158433,0.996127,1,-0.000202522,0.996127,1,3.1892,16.3756,-1.37328,16479.9,401.317,0.386486,15434.9,411.079,0.724502,17.573,1.32095e-07,14964,37.65,41.000,29.325,0.079,0,No Data,No Data,No Data,No Data
02/21/2025 13:29:46.477,1,140.01,41.4151,40.7789,21.8255,48.7103,41.4151,131667,60002,-5.02653,0.0596599,-1.30313e-05,-3.40502e-08,0.604796,0.999726,1,0.00805623,1.17268,1,-0.353357,0.0240283,7.45548e-05,-1.02024e-07,0.0161794,0.999726,1,-0.000207498,0.999726,1,3.18925,16.3754,-1.4143,16452.9,397.675,0.386486,15434.9,411.079,0.724502,17.573,1.32095e-07,14910,37.65,41.000,29.324,0.079,0,No Data,No Data,No Data,No Data
02/21/2025 13:29:47.501,1,140.013,41.4151,40.7791,21.8220,48.7103,41.4151,131652,59999,-5.02742,0.0596666,-1.30491e-05,-3.40476e-08,0.606049,0.994495,1,0.00806626,1.18069,1,-0.232378,0.0231257,7.67733e-05,-1.03827e-07,0.0152155,0.994495,1,-0.000215847,0.994495,1,3.18921,16.3751,-1.48325,16487,398.184,0.386486,15434.9,411.079,0.724502,17.573,1.32095e-07,14956,37.65,41.000,29.320,0.079,0,No Data,No Data,No Data,No Data
02/21/2025 13:29:48.525,1,140.019,41.4151,40.7789,21.8190,48.7396,41.4151,131670,60002,-5.02183,0.0595962,-1.2775e-05,-3.43954e-08,0.606571,0.987127,1,0.00806048,1.27815,1,-0.453661,0.0247777,7.26751e-05,-1.00451e-07,0.0156117,0.987127,1,-0.00019013,0.987127,1,3.18933,16.375,-1.27104,16501.2,397.905,0.386486,15434.9,411.079,0.724502,17.573,1.32095e-07,14930,37.65,41.000,29.320,0.081,0,No Data,No Data,No Data,No Data
02/21/2025 13:29:49.549,1,139.999,41.4150,40.7789,21.8219,48.7299,41.4150,131670,60002,-5.02016,0.0595701,-1.26332e-05,-3.462e-08,0.60623,0.991832,1,0.00807789,1.3248,1,-0.328333,0.0238488,7.49796e-05,-1.02348e-07,0.0156963,0.991832,1,-0.000168307,0.991832,1,3.1894,16.3762,-1.09094,16491.9,398.76,0.386486,15434.9,411.079,0.724502,17.573,1.32095e-07,14946,37.65,41.000,29.324,0.079,0,No Data,No Data,No Data,No Data
02/21/2025 13:29:50.573,1,139.986,41.4148,40.7789,21.8260,48.7592,41.4148,131647,60002,-5.00532,0.0593925,-1.19197e-05,-3.55402e-08,0.604187,0.989214,1,0.00818705,1.21802,1,-0.360357,0.0240877,7.43966e-05,-1.01871e-07,0.0154953,0.989214,1,-0.000191928,0.989214,1,3.18908,16.3771,-1.28579,16436.4,404.126,0.386486,15434.9,411.079,0.724502,17.573,1.32095e-07,14985,37.65,41.000,29.323,0.079,0,No Data,No Data,No Data,No Data
02/21/2025 13:29:51.597,1,140.006,41.4149,40.7791,21.8270,48.7689,41.4149,131644,60002,-5.03145,0.0597094,-1.32199e-05,-3.3838e-08,0.606024,0.996244,1,0.00818061,1.27504,1,-0.311342,0.0237224,7.52733e-05,-1.02586e-07,0.0163499,0.996244,1,-0.000179146,0.996244,1,3.18933,16.374,-1.18038,16486.3,403.828,0.386486,15434.9,411.079,0.724502,17.573,1.32095e-07,14930,37.65,41.000,29.323,0.079,0,No Data,No Data,No Data,No Data
02/21/2025 13:29:52.621,1,139.976,41.4149,40.7790,21.8394,48.7689,41.4149,131654,60002,-5.02808,0.0596902,-1.32085e-05,-3.37498e-08,0.605013,0.996758,1,0.00821833,1.2181,1,-0.324979,0.0238267,7.50199e-05,-1.02377e-07,0.0159373,0.996758,1,-0.000212421,0.996758,1,3.1893,16.375,-1.45493,16458.9,405.679,0.386486,15434.9,411.079,0.724502,17.573,1.32095e-07,14953,37.65,41.000,29.322,0.079,32,No Data,No Data,No Data,No Data
02/21/2025 13:29:53.645,1,140.001,41.4151,40.7788,21.8415,48.7592,41.4151,131665,60001,-5.00129,0.0593573,-1.18548e-05,-3.55497e-08,0.604448,0.989391,1,0.00794602,1.22466,1,-0.210088,0.0229722,7.71268e-05,-1.04093e-07,0.0155409,0.989391,1,-0.0002057,0.989391,1,3.18945,16.3757,-1.39945,16443.5,392.232,0.386486,15434.9,411.079,0.724502,17.573,1.32095e-07,14949,37.65,41.000,29.322,0.079,0,No Data,No Data,No Data,No Data
02/21/2025 13:29:54.669,1,139.993,41.4150,40.7789,21.8402,48.7787,41.4150,131646,60009,-5.01987,0.059598,-1.28148e-05,-3.42838e-08,0.605869,0.985562,1,0.00812735,1.32166,1,-0.259897,0.0233437,7.62392e-05,-1.03391e-07,0.0157763,0.985562,1,-0.000193078,0.985562,1,3.18919,16.3773,-1.29534,16482.1,401.198,0.386486,15434.9,411.079,0.724502,17.573,1.32095e-07,14954,37.65,41.000,29.321,0.078,0,No Data,No Data,No Data,No Data
